scenario,end,year,CY,CY_ts,VOLL,isolated,CO2_cost,load_shedding_cost,VOM_cost,fuel_cost,investment_cost,CCGT,OCGT,PV,w_on,w_off,imported,exported,demand,peak_demand
National Trends,2400,2025,1984,2012,10000,true,5.974626566309148e8,220252.25199562556,1.9607879925451573e7,5.761609318824842e8,1.0682510825803663e9,9995.859177034537,3468.1608643432114,0.0,3857.9673008964623,11174.231910048537,0.0,0.0,2.5841701429850124e7,14285.63010128753
National Trends,2400,2025,1984,2012,10000,false,2.666960570891992e8,551830.7416977288,8.854651204600248e6,2.571873690790708e8,1.2970395696158817e9,4758.340240322826,0.0,0.0,1444.9695890982302,19903.62496396505,6.87944916940633e6,8.475696256948799e6,2.5841701429850124e7,14285.63010128753
National Trends,2400,2030,1984,2012,10000,true,7.95753591433972e8,943247.6073301632,1.949784355569389e7,5.637930304766204e8,1.1753894765692863e9,10495.174402826382,3210.9948243694057,0.0,5224.7072305903,12046.788133771408,0.0,0.0,2.701027266079083e7,14716.487154535243
National Trends,2400,2030,1984,2012,10000,false,3.4697725585357064e8,0.0,8.58468244517154e6,2.4583408820263952e8,1.332319359256709e9,5359.231347011012,0.0,0.0,0.0,21156.591810453087,7.090481292787259e6,7.226679255624605e6,2.701027266079083e7,14716.487154535243
National Trends,2400,2040,1984,2012,10000,true,1.2256112888340888e9,4.97976733466698e6,1.992549386195996e7,5.752114663590829e8,1.5097782244970112e9,11815.243296782019,3248.634287228169,0.0,8231.406113284644,15480.68223707842,0.0,0.0,3.0855600708399463e7,17470.77068681304
National Trends,2400,2040,1984,2012,10000,false,8.787612447777263e8,0.0,1.4162756128201628e7,4.124256595816611e8,1.8145171056397095e9,9363.81266928801,3979.387569771712,0.0,831.875447181428,26468.52185422935,6.060473415868683e6,9.972358960930709e6,3.0855600708399463e7,17470.77068681304
Distributed Energy,2400,2030,1984,2012,10000,true,8.738509272949511e8,0.0,2.1420698420268875e7,6.19125151036538e8,1.2835092495684192e9,11413.091315264961,3174.42255472495,4.585072645274276,5926.60901839462,13109.586245355586,0.0,0.0,2.9747176659124352e7,15831.281969222224
Distributed Energy,2400,2030,1984,2012,10000,false,5.866580875931766e8,0.0,1.4279406076690793e7,4.1564844270667696e8,1.5871821034943342e9,8636.97542832625,3511.3623475955105,0.0,2436.563359952838,21872.98710890689,6.442685288036406e6,1.0043018672609e7,2.9747176659124352e7,15831.281969222224
Distributed Energy,2400,2040,1984,2012,10000,true,1.2538534280901945e9,1.4782645919707238e6,2.039843958111748e7,5.884662417373971e8,1.588598461120005e9,12009.528856660083,3365.2025187948966,2147.124103002636,8426.817037382434,15656.591504874374,0.0,0.0,3.207121514621211e7,16570.288864582377
Distributed Energy,2400,2040,1984,2012,10000,false,7.985275232479082e8,0.0,1.2838170187956532e7,3.7476987341758597e8,1.929904688175772e9,9108.35036913888,5419.773364996634,0.0,0.0,28832.47802754847,8.196503853922749e6,1.2394591342288593e7,3.207121514621211e7,16570.288864582377
